entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
Nuclear Security Summit,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Andrews Air Force Base,0.0000,0.0000,0.0000,0.0013,0.0010,0.0000,0.0007,0.0009,0.0010,0.0006,0.0010,0.0005,0.0008,0.0007,0.0007,0.0004,0.0150
Hadiya Pendleton,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0060,0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Sara Jo,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
North Miami,0.0000,0.0027,0.0023,0.0025,0.0020,0.0015,0.0019,0.0017,0.0024,0.0022,0.0027,0.0024,0.0030,0.0021,0.0025,0.0015,0.0150
Galesburg,0.0000,0.0000,0.0032,0.0017,0.0014,0.0017,0.0025,0.0022,0.0026,0.0024,0.0015,0.0023,0.0027,0.0023,0.0024,0.0023,0.0150
Greensburg,0.0000,0.0000,0.0000,0.0000,0.0011,0.0010,0.0008,0.0004,0.0000,0.0000,0.0003,0.0003,0.0003,0.0002,0.0002,0.0001,0.0150
Independence,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0007,0.0003,0.0006,0.0006,0.0005,0.0006,0.0012,0.0007,0.0004,0.0150
Darfur,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Vocational Schools,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0010,0.0005,0.0003,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0001,0.0150
Parental Leave,0.0000,0.0036,0.0000,0.0019,0.0027,0.0020,0.0037,0.0019,0.0026,0.0027,0.0037,0.0052,0.0047,0.0050,0.0052,0.0139,0.0150
coal mining (industry),0.0000,0.0054,0.0067,0.0025,0.0020,0.0020,0.0021,0.0027,0.0035,0.0019,0.0019,0.0020,0.0022,0.0045,0.0030,0.0023,0.0150
Tax Cuts of 2017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
trade deficit,0.0000,0.0027,0.0000,0.0013,0.0012,0.0012,0.0014,0.0011,0.0013,0.0011,0.0006,0.0006,0.0010,0.0017,0.0014,0.0022,0.0150
gun violence,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0008,0.0003,0.0048,0.0012,0.0005,0.0025,0.0017,0.0010,0.0022,0.0150
Clean Power Plan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0002,0.0000,0.0000,0.0150
Elementary and Secondary Education Act,0.0000,0.0045,0.0018,0.0017,0.0019,0.0020,0.0016,0.0024,0.0013,0.0014,0.0011,0.0016,0.0015,0.0017,0.0016,0.0010,0.0150
Higher Education Act of 1965,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0006,0.0000,0.0003,0.0004,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001,0.0150
Immigration Policy,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0009,0.0007,0.0006,0.0004,0.0004,0.0015,0.0013,0.0010,0.0150
Middle Class,0.0000,0.0040,0.0023,0.0017,0.0036,0.0033,0.0050,0.0020,0.0062,0.0063,0.0044,0.0188,0.0036,0.0063,0.0054,0.0202,0.0150
Common core,0.0000,0.0036,0.0026,0.0030,0.0022,0.0026,0.0027,0.0047,0.0095,0.0203,0.0285,0.0287,0.0240,0.0168,0.0149,0.0112,0.0150
Hydraulic fracturing,0.0000,0.0000,0.0000,0.0013,0.0000,0.0007,0.0013,0.0022,0.0089,0.0092,0.0085,0.0079,0.0043,0.0054,0.0032,0.0030,0.0150
Net neutrality,0.0000,0.0000,0.0000,0.0013,0.0009,0.0007,0.0010,0.0022,0.0003,0.0003,0.0025,0.0035,0.0004,0.0018,0.0078,0.0010,0.0150
Sick leave,0.0000,0.0000,0.0000,0.0017,0.0017,0.0017,0.0018,0.0025,0.0018,0.0026,0.0028,0.0055,0.0043,0.0039,0.0056,0.0029,0.0150
Executive Order 13769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0080,0.0019,0.0008,0.0150
Whistleblower,0.0000,0.0036,0.0029,0.0019,0.0014,0.0026,0.0015,0.0013,0.0024,0.0022,0.0018,0.0020,0.0016,0.0024,0.0020,0.0016,0.0150
Edward Snowden,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0111,0.0027,0.0020,0.0038,0.0014,0.0020,0.0150
Student loans in the United States,0.0000,0.0000,0.0000,0.0013,0.0016,0.0016,0.0016,0.0014,0.0023,0.0011,0.0015,0.0014,0.0014,0.0009,0.0007,0.0009,0.0150
Gerrymandering,0.0000,0.0000,0.0000,0.0000,0.0009,0.0007,0.0007,0.0008,0.0007,0.0013,0.0014,0.0012,0.0041,0.0042,0.0030,0.0020,0.0150
Body worn video,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0013,0.0010,0.0011,0.0015,0.0150
Syrian civil war,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0011,0.0020,0.0010,0.0017,0.0021,0.0011,0.0011,0.0150
Military budget,0.0000,0.0000,0.0000,0.0000,0.0012,0.0019,0.0014,0.0020,0.0014,0.0016,0.0009,0.0013,0.0015,0.0060,0.0018,0.0038,0.0150
Sanctuary cities,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0019,0.0009,0.0009,0.0150
Gender identity,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0008,0.0007,0.0008,0.0011,0.0005,0.0007,0.0005,0.0014,0.0008,0.0010,0.0150
Eminent domain,0.0000,0.0036,0.0053,0.0013,0.0010,0.0009,0.0015,0.0015,0.0009,0.0013,0.0008,0.0016,0.0009,0.0014,0.0010,0.0013,0.0150
Voter turnout,0.0000,0.0036,0.0000,0.0013,0.0017,0.0009,0.0000,0.0006,0.0007,0.0004,0.0006,0.0008,0.0005,0.0007,0.0007,0.0008,0.0150
Freedom of religion,0.0000,0.0000,0.0023,0.0015,0.0009,0.0011,0.0009,0.0013,0.0014,0.0010,0.0018,0.0013,0.0014,0.0011,0.0017,0.0011,0.0150
Basic income,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0003,0.0002,0.0003,0.0004,0.0005,0.0150
War in Afghanistan,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0021,0.0022,0.0019,0.0018,0.0012,0.0011,0.0007,0.0008,0.0010,0.0020,0.0150
Solitary confinement,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0005,0.0006,0.0003,0.0005,0.0005,0.0006,0.0007,0.0004,0.0150
Dream act,0.0000,0.0000,0.0000,0.0000,0.0012,0.0009,0.0010,0.0052,0.0038,0.0031,0.0024,0.0020,0.0015,0.0042,0.0174,0.0015,0.0150
Equal pay for equal work,0.0000,0.0000,0.0018,0.0000,0.0011,0.0016,0.0007,0.0006,0.0009,0.0019,0.0025,0.0023,0.0010,0.0011,0.0009,0.0012,0.0150
Safe spaces,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0003,0.0000,0.0000,0.0004,0.0008,0.0008,0.0004,0.0150
Paris Agreement,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0005,0.0010,0.0009,0.0150
Vaccine controversies,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0006,0.0005,0.0006,0.0003,0.0006,0.0024,0.0150
Chelsea Manning,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0006,0.0017,0.0014,0.0006,0.0017,0.0006,0.0004,0.0006,0.0018,0.0004,0.0150
Alternative energy,0.0000,0.0036,0.0103,0.0034,0.0040,0.0041,0.0025,0.0015,0.0017,0.0012,0.0012,0.0012,0.0008,0.0010,0.0008,0.0005,0.0150
Offshore bank,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0008,0.0006,0.0008,0.0003,0.0006,0.0000,0.0005,0.0003,0.0000,0.0002,0.0150
Mexico-United States barrier,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0009,0.0173,0.0150
Political corruption,0.0000,0.0000,0.0000,0.0000,0.0009,0.0012,0.0010,0.0020,0.0006,0.0008,0.0006,0.0005,0.0008,0.0007,0.0006,0.0009,0.0150
Drug policy,0.0000,0.0000,0.0018,0.0000,0.0000,0.0000,0.0006,0.0011,0.0006,0.0004,0.0004,0.0005,0.0005,0.0002,0.0003,0.0003,0.0150
Joint Comprehensive Plan of Action (Iran Deal),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0007,0.0000,0.0003,0.0007,0.0150
Voting age,0.0000,0.0000,0.0000,0.0000,0.0014,0.0000,0.0006,0.0007,0.0005,0.0004,0.0003,0.0004,0.0005,0.0005,0.0005,0.0005,0.0150
Term limits in the United States,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0008,0.0003,0.0004,0.0003,0.0004,0.0003,0.0003,0.0008,0.0150
LGBT rights,0.0000,0.0000,0.0000,0.0000,0.0011,0.0000,0.0006,0.0000,0.0004,0.0005,0.0004,0.0003,0.0004,0.0005,0.0000,0.0002,0.0150
Electoral fraud,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0000,0.0007,0.0007,0.0009,0.0005,0.0004,0.0005,0.0004,0.0010,0.0150
Offshore drilling,0.0000,0.0000,0.0000,0.0000,0.0000,0.0012,0.0016,0.0008,0.0012,0.0000,0.0005,0.0000,0.0002,0.0004,0.0005,0.0007,0.0150
Prescription costs,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0000,0.0000,0.0005,0.0000,0.0003,0.0003,0.0150
Agricultural subsidies,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0008,0.0004,0.0003,0.0007,0.0005,0.0000,0.0002,0.0000,0.0002,0.0150
Labor Unions in the United States,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0004,0.0004,0.0004,0.0004,0.0002,0.0002,0.0002,0.0002,0.0150
2003 Invasion of Iraq,0.0000,0.0000,0.0000,0.0013,0.0010,0.0010,0.0000,0.0006,0.0005,0.0006,0.0004,0.0005,0.0003,0.0004,0.0003,0.0003,0.0150
Drug testing welfare recipients,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0059,0.0010,0.0004,0.0006,0.0003,0.0004,0.0003,0.0002,0.0001,0.0150
Campus sexual assault,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0003,0.0000,0.0001,0.0150
PRISM,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0003,0.0001,0.0150
Economic stimulus,0.0000,0.0000,0.0000,0.0000,0.0180,0.0612,0.0049,0.0017,0.0008,0.0004,0.0004,0.0000,0.0002,0.0006,0.0004,0.0001,0.0150
No fly list,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0004,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0001,0.0150
Russian military action in Syria,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0005,0.0003,0.0000,0.0001,0.0150
Women in combat,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0004,0.0003,0.0013,0.0003,0.0000,0.0003,0.0002,0.0000,0.0001,0.0150
Prison overcrowding,0.0000,0.0000,0.0000,0.0000,0.0009,0.0000,0.0000,0.0000,0.0003,0.0003,0.0003,0.0004,0.0003,0.0003,0.0000,0.0001,0.0150
LGBT adoption rights,0.0000,0.0000,0.0000,0.0000,0.0009,0.0010,0.0000,0.0000,0.0003,0.0004,0.0000,0.0000,0.0002,0.0000,0.0000,0.0000,0.0150
Dakota Access pipeline,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0016,0.0002,0.0001,0.0150
U.S. national anthem protests,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Israel boycott,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0004,0.0000,0.0002,0.0000,0.0000,0.0003,0.0150
North Korea and weapons of mass destruction,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Single-payer healthcare,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Gender workplace diversity,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Transgender people in the military,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Women's health,0.0000,0.0049,0.0035,0.0021,0.0033,0.0019,0.0015,0.0022,0.0031,0.0022,0.0026,0.0019,0.0066,0.0071,0.0056,0.0029,0.0150
Maternity leave in the United States,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Legal history of cannabis in the United States,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Welfare,0.0000,0.0000,0.0018,0.0027,0.0016,0.0030,0.0038,0.0017,0.0025,0.0017,0.0014,0.0017,0.0019,0.0018,0.0020,0.0018,0.0150
DACA,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0018,0.0019,0.0039,0.0029,0.0089,0.0511,0.0142,0.0150
Private Prisons,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0006,0.0000,0.0005,0.0005,0.0005,0.0000,0.0003,0.0014,0.0007,0.0005,0.0150
Electronic Classroom of Tomorrow,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0004,0.0005,0.0006,0.0006,0.0009,0.0006,0.0006,0.0000,0.0150
Right to work,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0000,0.0006,0.0043,0.0008,0.0006,0.0005,0.0008,0.0007,0.0005,0.0004,0.0150
Russian interference in the 2016 United States elections,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Child tax credit,0.0085,0.0048,0.0028,0.0032,0.0044,0.0034,0.0060,0.0050,0.0054,0.0052,0.0040,0.0083,0.0056,0.0050,0.0071,0.0431,0.0150
Natural gas,0.0131,0.0124,0.0126,0.0135,0.0125,0.0112,0.0143,0.0132,0.0091,0.0128,0.0132,0.0122,0.0132,0.0066,0.0077,0.0223,0.0150
United States farm bill,0.0000,0.0000,0.0000,0.0000,0.0010,0.0008,0.0000,0.0004,0.0000,0.0003,0.0010,0.0005,0.0003,0.0000,0.0000,0.0024,0.0150
Criminal justice,0.0085,0.0162,0.0079,0.0067,0.0059,0.0079,0.0095,0.0082,0.0055,0.0063,0.0084,0.0097,0.0089,0.0060,0.0049,0.0155,0.0150
FIRST STEP Act,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
First Step Act,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
Human trafficking,0.0000,0.0047,0.0028,0.0032,0.0021,0.0045,0.0061,0.0047,0.0026,0.0042,0.0065,0.0061,0.0073,0.0058,0.0065,0.0220,0.0150
United States–Mexico–Canada Agreement,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0150
School choice,0.0000,0.0000,0.0000,0.0000,0.0016,0.0009,0.0010,0.0006,0.0012,0.0007,0.0012,0.0015,0.0012,0.0011,0.0009,0.0269,0.0150
Paid Family Leave,0.0000,0.0000,0.0000,0.0000,0.0000,0.0013,0.0006,0.0006,0.0000,0.0008,0.0009,0.0008,0.0008,0.0004,0.0009,0.0077,0.0150
Antisemitism,0.0066,0.0043,0.0000,0.0019,0.0023,0.0017,0.0022,0.0017,0.0014,0.0016,0.0032,0.0037,0.0034,0.0046,0.0023,0.0305,0.0150
